name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Allan Hills A81005,1965,Valid,Lunar (anorth),31.4,Found,1981,-76.83018,158.25893,"(-76.83018, 158.25893)"
Allan Hills A81006,1966,Valid,Eucrite-pmict,254.9,Found,1981,-76.69194,159.26805,"(-76.69194, 159.26805)"
Allan Hills A81007,1967,Valid,Eucrite-pmict,163.5,Found,1981,-76.68972,159.24917,"(-76.68972, 159.24917)"
Allan Hills A81008,1968,Valid,Eucrite-pmict,43.8,Found,1981,-76.69444,159.39111,"(-76.69444, 159.39111)"
Allan Hills A81009,1969,Valid,Eucrite-pmict,229,Found,1981,-76.69778,159.30389,"(-76.69778, 159.30389)"
Allan Hills A81010,1970,Valid,Eucrite-pmict,219.1,Found,1981,-76.68889,159.37889,"(-76.68889, 159.37889)"
Allan Hills A81011,1971,Valid,Eucrite-pmict,405.7,Found,1981,-76.72611,159.41028,"(-76.72611, 159.41028)"
Allan Hills A81012,1972,Valid,Eucrite-pmict,36.7,Found,1981,-76.70528,159.305,"(-76.70528, 159.305)"
Allan Hills A81013,1973,Valid,"Iron, IIAB",17727,Found,1981,-76.74756,158.84338,"(-76.74756, 158.84338)"
Allan Hills A81014,1974,Valid,"Iron, ungrouped",188.2,Found,1981,-76.71139,159.35889,"(-76.71139, 159.35889)"
Allan Hills A81015,1975,Valid,H5,5489,Found,1981,-76.71367,158.78126,"(-76.71367, 158.78126)"
Allan Hills A81016,1976,Valid,L6,3850.2,Found,1981,-76.73294,158.80698,"(-76.73294, 158.80698)"
Allan Hills A81017,1977,Valid,L5,1434.4,Found,1981,-76.77361,159.2775,"(-76.77361, 159.2775)"
Allan Hills A81018,1978,Valid,L5,2236.9,Found,1981,-76.82601,158.19412,"(-76.82601, 158.19412)"
Allan Hills A81019,1979,Valid,H5,1051.2,Found,1981,-76.82743,158.21117,"(-76.82743, 158.21117)"
Allan Hills A81020,1980,Valid,H5,1352.5,Found,1981,-76.69333,159.07667,"(-76.69333, 159.07667)"
Allan Hills A81021,1981,Valid,EL6,695.1,Found,1981,-76.83077,158.23057,"(-76.83077, 158.23057)"
Allan Hills A81022,1982,Valid,H4,912.5,Found,1981,-76.82851,158.22522,"(-76.82851, 158.22522)"
Allan Hills A81023,1983,Valid,L5,418.3,Found,1981,-76.83005,158.22164,"(-76.83005, 158.22164)"
Allan Hills A81024,1984,Valid,H3.6,797.7,Found,1981,-76.67844,159.26614,"(-76.67844, 159.26614)"
Allan Hills A81025,1985,Valid,L3.6,379,Found,1981,-76.69389,159.37306,"(-76.69389, 159.37306)"
Allan Hills A81026,1986,Valid,L6,515.5,Found,1981,-76.68139,159.34667,"(-76.68139, 159.34667)"
Allan Hills A81027,1987,Valid,L6,3835.3,Found,1981,-76.69,159.26305,"(-76.69, 159.26305)"
Allan Hills A81028,1988,Valid,L6,80.1,Found,1981,-76.69,159.26305,"(-76.69, 159.26305)"
Allan Hills A81029,1989,Valid,L6,153,Found,1981,-76.68972,159.2775,"(-76.68972, 159.2775)"
Allan Hills A81030,1990,Valid,L3.4,1851.6,Found,1981,-76.70139,159.38861,"(-76.70139, 159.38861)"
Allan Hills A81031,1991,Valid,L3.4,1594.9,Found,1981,-76.705,159.37944,"(-76.705, 159.37944)"
Allan Hills A81032,1992,Valid,L3.4,726.8,Found,1981,-76.69806,159.3875,"(-76.69806, 159.3875)"
