name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Reckling Peak 86703,22406,Valid,H6,196,Found,1986,-76.24209,158.63823,"(-76.24209, 158.63823)"
Reckling Peak 86704,22407,Valid,LL6,137.9,Found,1986,-76.2372,158.67634,"(-76.2372, 158.67634)"
Reckling Peak 86705,22408,Valid,H5,68.5,Found,1986,-76.23773,158.67436,"(-76.23773, 158.67436)"
Reid 009,22564,Valid,H4,47.8,Found,1986,-30.31667,128.985,"(-30.31667, 128.985)"
Reid 010,22565,Valid,H6,8220,Found,1986,-30.32167,128.85,"(-30.32167, 128.85)"
Reid 011,22566,Valid,H3-6,4760,Found,1986,-30.21667,128.3,"(-30.21667, 128.3)"
Renfrow,22588,Valid,L6,81600,Found,1986,36.98667,-97.555,"(36.98667, -97.555)"
Roundsprings,22770,Valid,H5,6000,Found,1986,39.16667,-98.43333,"(39.16667, -98.43333)"
Sand Creek,23133,Valid,H5,2443,Found,1986,39.43,-99.995,"(39.43, -99.995)"
Soledade,23662,Valid,"Iron, IAB-MG",68000,Found,1986,-29.05,-51.43333,"(-29.05, -51.43333)"
Wah Wah Valley,24197,Valid,L6,9,Found,1986,38.67667,-113.30167,"(38.67667, -113.30167)"
Yamato 86001,29507,Valid,L6,6.43,Found,1986,-71.83333,35.5,"(-71.83333, 35.5)"
Yamato 86002,29508,Valid,H5,3.48,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86003,29509,Valid,L6,4.33,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86004,29510,Valid,EH-imp melt,62.78,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86005,29511,Valid,L3,39.07,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86006,29512,Valid,Eucrite,6.47,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 86007,29513,Valid,L6,17.93,Found,1986,-71.5,35.66667,"(-71.5, 35.66667)"
