name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Asuka 881231,3940,Valid,H4,44.82,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881232,3941,Valid,L6,24.66,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881233,3942,Valid,L6,233.16,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881235,3944,Valid,H4,47.24,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881236,3945,Valid,H3.1,198.93,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881237,3946,Valid,H6,102.79,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881238,3947,Valid,H5,22.02,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881239,3948,Valid,Diogenite,42.35,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881240,3949,Valid,H3.7,49.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881241,3950,Valid,L4,403.41,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881242,3951,Valid,H3.7,15.16,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881243,3952,Valid,H5,124.18,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881244,3953,Valid,L3.0,164.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881245,3954,Valid,H5,217.62,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881246,3955,Valid,H4,57.07,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881247,3956,Valid,EL6,22.5,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881248,3957,Valid,H4,70.21,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881249,3958,Valid,H3.7,582.25,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881250,3959,Valid,H4,128.03,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881251,3960,Valid,H4,19.21,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881253,3962,Valid,H4,71.05,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881254,3963,Valid,H4,23.91,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881255,3964,Valid,H5,21.69,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881256,3965,Valid,CO3,46.77,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881257,3966,Valid,LL6,74.74,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881258,3967,Valid,H3.0,274.09,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881259,3968,Valid,H4,79.16,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881260,3969,Valid,H4,49.68,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881261,3970,Valid,H5,62.94,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881262,3971,Valid,H4,88.13,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881263,3972,Valid,H3.7,133.48,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881264,3973,Valid,LL4,17.93,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881265,3974,Valid,L6,712.03,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881266,3975,Valid,L6,156.38,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881267,3976,Valid,H4,60.49,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881268,3977,Valid,H5,105.3,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881269,3978,Valid,H4,84.13,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881270,3979,Valid,H4,97.35,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881271,3980,Valid,H6,53.97,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881273,3982,Valid,L6,87.27,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881274,3983,Valid,H4,107.41,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881275,3984,Valid,H4,140.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881276,3985,Valid,H5,31.84,Found,1988,-72,26,"(-72.0, 26.0)"
