name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Queen Alexandra Range 93437,19525,Valid,H6,2.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93438,19526,Valid,H5,5.4,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93439,19527,Valid,L5,30.7,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93440,19528,Valid,L5,12.7,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93441,19529,Valid,L5,3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93442,19530,Valid,L6,13.8,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93443,19531,Valid,H6,8.7,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93444,19532,Valid,L6,35.4,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93445,19533,Valid,L6,22.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93446,19534,Valid,LL6,4.6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93447,19535,Valid,L5,17.9,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93448,19536,Valid,L5,21.6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93449,19537,Valid,H5,18.1,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93450,19538,Valid,L5,42.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93451,19539,Valid,H5,27.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93452,19540,Valid,H6,1.1,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93453,19541,Valid,L5,1.1,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93454,19542,Valid,H6,3.1,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93455,19543,Valid,LL6,18.4,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93456,19544,Valid,H5,42,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93457,19545,Valid,L6,12.1,Found,1993,-84,168,"(-84.0, 168.0)"
