name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Yamato 981513,38136,Valid,H4,17.65,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981514,38137,Valid,L5,8.71,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981515,38138,Valid,L6,9.14,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981516,38139,Valid,L6,5.58,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981522,38145,Valid,L6,37.07,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981523,38146,Valid,L6,45.47,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981525,38148,Valid,L6,68.07,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981526,38149,Valid,L6,28.07,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981527,38150,Valid,L6,8.78,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981530,38153,Valid,H4,5.57,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981536,38159,Valid,H3,7.61,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981539,38162,Valid,H6,10.15,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981540,38163,Valid,H5,11.52,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981545,38168,Valid,H4,28.26,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981547,38170,Valid,H6,7.09,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981548,38171,Valid,H6,7.35,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981549,38172,Valid,H6,13.5,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981550,38173,Valid,H6,18.1,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981551,38174,Valid,H5,6.01,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981553,38176,Valid,L6,42,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981554,38177,Valid,L6,30.26,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981556,38179,Valid,L5,26.78,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981558,38181,Valid,L5,7.28,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981563,38186,Valid,H4,7.04,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981575,38198,Valid,L6,11.86,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981576,38199,Valid,L6,34.78,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981581,38204,Valid,L6,6.59,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981582,38205,Valid,Diogenite,5.88,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981584,38207,Valid,LL6,10.92,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981585,38208,Valid,LL6,7.83,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981586,38209,Valid,H6,7.29,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981588,38211,Valid,L3,25.88,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981591,38214,Valid,L3,7.1,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981593,38216,Valid,H6,27.39,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981594,38217,Valid,H4,9.14,Found,1998,0,0,"(0.0, 0.0)"
Yamato 981595,38218,Valid,H5,26.66,Found,1998,0,0,"(0.0, 0.0)"
