name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Northwest Africa 7040,54678,Valid,H3.4,1740,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7041,54679,Valid,LL6,127,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7042,54680,Valid,Martian (shergottite),3033,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7043,54839,Valid,CV3,166,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7044,54685,Valid,H6,1443,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7045,54840,Valid,"Pallasite, PMG",1127,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7046,54841,Valid,H4,1819,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7061,54842,Valid,LL6,134.2,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7062,54843,Valid,Eucrite-mmict,62.9,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7069,54724,Valid,L5,882,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7070,54725,Valid,L3,1142,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7071,54726,Valid,LL6,236,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7072,54727,Valid,L6,507,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7073,54728,Valid,L6,1575,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7074,54729,Valid,H4,782,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7075,54730,Valid,L3,2815,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7076,54731,Valid,L4/5,32,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7077,54732,Valid,CV3,134,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7079,54734,Valid,H3,134,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7080,54735,Valid,L6-melt breccia,116,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7081,54736,Valid,L6,292,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7082,54737,Valid,H6,159,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7083,54738,Valid,CO3,55,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7084,54739,Valid,LL6-melt breccia,72,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7085,54740,Valid,L6-melt breccia,53,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7086,54741,Valid,CK4,20,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7087,54742,Valid,LL6,119,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7088,54743,Valid,LL5/6,72,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7089,54744,Valid,H4,647,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7090,54745,Valid,L3,379,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7091,54746,Valid,L4/5,76,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7092,54747,Valid,H4,59,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7093,54748,Valid,L6,40,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7094,54749,Valid,L3,7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7095,54750,Valid,CV3,13,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7096,54751,Valid,H4,20,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7097,54752,Valid,Eucrite-pmict,26,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7098,54753,Valid,Eucrite-pmict,48,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7099,54754,Valid,LL6,36,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7100,54755,Valid,H3,73,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7101,54756,Valid,L6,64,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7102,54757,Valid,L3,42,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7103,54758,Valid,CO3,13,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7108,54763,Valid,CV3,59,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7109,54772,Valid,L5,1440.5,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7110,54777,Valid,CV3,220,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7111,54778,Valid,Ureilite,59,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7112,54779,Valid,L6,1000,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7113,54780,Valid,L4,53,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7114,54781,Valid,H4,78.3,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7115,54782,Valid,H4,10.7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7116,54783,Valid,EL6,12.1,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7117,54784,Valid,LL5,64,Found,2011,0,0,"(0.0, 0.0)"
