name,longitude,latitude,country,continent
Reckling Peak 86703,not found,not found,not found,not found
Reckling Peak 86704,not found,not found,not found,not found
Reckling Peak 86705,not found,not found,not found,not found
Reid 009,not found,not found,not found,not found
Reid 010,127.6879341,-30.7623624,Australia,Oceania
Reid 011,125.8833791,-29.6623011,Australia,Oceania
Renfrow,-97.804412,36.985253,United States,North America
Roundsprings,-98.424534,39.161548,United States,North America
Sand Creek,-99.8980624,39.34062,United States,North America
Soledade,-51.4159915,-29.0430706,Brazil,South America
Wah Wah Valley,not found,not found,not found,not found
Yamato 86001,85.99026,23.68562,India,Asia
Yamato 86002,not found,not found,not found,not found
Yamato 86003,not found,not found,not found,not found
Yamato 86004,not found,not found,not found,not found
Yamato 86005,not found,not found,not found,not found
Yamato 86006,not found,not found,not found,not found
Yamato 86007,not found,not found,not found,not found
Yamato 86008,not found,not found,not found,not found
Yamato 86009,not found,not found,not found,not found
Yamato 86010,not found,not found,not found,not found
Yamato 86011,not found,not found,not found,not found
Yamato 86012,not found,not found,not found,not found
Yamato 86013,not found,not found,not found,not found
Yamato 86014,not found,not found,not found,not found
Yamato 86015,not found,not found,not found,not found
Yamato 86016,not found,not found,not found,not found
Yamato 86017,not found,not found,not found,not found
Yamato 86018,not found,not found,not found,not found
Yamato 86019,not found,not found,not found,not found
Yamato 86020,not found,not found,not found,not found
Yamato 86021,not found,not found,not found,not found
Yamato 86022,not found,not found,not found,not found
Yamato 86023,not found,not found,not found,not found
Yamato 86024,not found,not found,not found,not found
Yamato 86025,not found,not found,not found,not found
Yamato 86026,not found,not found,not found,not found
Yamato 86027,not found,not found,not found,not found
Yamato 86028,not found,not found,not found,not found
Yamato 86029,not found,not found,not found,not found
Yamato 86030,not found,not found,not found,not found
Yamato 86031,not found,not found,not found,not found
Yamato 86032,not found,not found,not found,not found
Yamato 86034,not found,not found,not found,not found
Yamato 86035,not found,not found,not found,not found
Yamato 86036,not found,not found,not found,not found
Yamato 86037,not found,not found,not found,not found
Yamato 86038,not found,not found,not found,not found
Yamato 86039,not found,not found,not found,not found
Yamato 86040,not found,not found,not found,not found
Yamato 86041,not found,not found,not found,not found
Yamato 86042,not found,not found,not found,not found
Yamato 86043,not found,not found,not found,not found
Yamato 86044,not found,not found,not found,not found
Yamato 86045,not found,not found,not found,not found
Yamato 86046,not found,not found,not found,not found
Yamato 86047,not found,not found,not found,not found
Yamato 86048,not found,not found,not found,not found
Yamato 86049,not found,not found,not found,not found
Yamato 86050,not found,not found,not found,not found
Yamato 86051,not found,not found,not found,not found
Yamato 86052,not found,not found,not found,not found
Yamato 86053,not found,not found,not found,not found
Yamato 86054,not found,not found,not found,not found
Yamato 86055,not found,not found,not found,not found
Yamato 86056,not found,not found,not found,not found
Yamato 86057,not found,not found,not found,not found
Yamato 86058,not found,not found,not found,not found
Yamato 86059,not found,not found,not found,not found
Yamato 86060,not found,not found,not found,not found
Yamato 86061,not found,not found,not found,not found
Yamato 86062,not found,not found,not found,not found
Yamato 86063,not found,not found,not found,not found
Yamato 86064,not found,not found,not found,not found
Yamato 86065,not found,not found,not found,not found
Yamato 86066,not found,not found,not found,not found
Yamato 86067,not found,not found,not found,not found
Yamato 86068,not found,not found,not found,not found
Yamato 86069,not found,not found,not found,not found
Yamato 86070,not found,not found,not found,not found
Yamato 86071,not found,not found,not found,not found
Yamato 86072,not found,not found,not found,not found
Yamato 86073,not found,not found,not found,not found
Yamato 86074,not found,not found,not found,not found
Yamato 86075,not found,not found,not found,not found
Yamato 86076,not found,not found,not found,not found
Yamato 86077,not found,not found,not found,not found
Yamato 86078,not found,not found,not found,not found
Yamato 86079,not found,not found,not found,not found
Yamato 86080,not found,not found,not found,not found
Yamato 86081,not found,not found,not found,not found
Yamato 86082,not found,not found,not found,not found
Yamato 86083,not found,not found,not found,not found
Yamato 86084,not found,not found,not found,not found
Yamato 86085,not found,not found,not found,not found
Yamato 86086,not found,not found,not found,not found
Yamato 86087,not found,not found,not found,not found
Yamato 86088,not found,not found,not found,not found
Yamato 86089,not found,not found,not found,not found
Yamato 86090,not found,not found,not found,not found
Yamato 86091,not found,not found,not found,not found
Yamato 86092,not found,not found,not found,not found
Yamato 86093,not found,not found,not found,not found
Yamato 86094,not found,not found,not found,not found
Yamato 86095,not found,not found,not found,not found
Yamato 86096,not found,not found,not found,not found
Yamato 86097,not found,not found,not found,not found
Yamato 86098,not found,not found,not found,not found
Yamato 86099,not found,not found,not found,not found
Yamato 86100,not found,not found,not found,not found
Yamato 86101,not found,not found,not found,not found
Yamato 86102,not found,not found,not found,not found
Yamato 86103,not found,not found,not found,not found
Yamato 86104,not found,not found,not found,not found
Yamato 86105,not found,not found,not found,not found
Yamato 86106,not found,not found,not found,not found
Yamato 86107,not found,not found,not found,not found
Yamato 86108,not found,not found,not found,not found
Yamato 86109,not found,not found,not found,not found
Yamato 86110,not found,not found,not found,not found
Yamato 86111,not found,not found,not found,not found
Yamato 86112,not found,not found,not found,not found
Yamato 86113,not found,not found,not found,not found
Yamato 86114,not found,not found,not found,not found
Yamato 86115,not found,not found,not found,not found
Yamato 86116,not found,not found,not found,not found
Yamato 86117,not found,not found,not found,not found
Yamato 86118,not found,not found,not found,not found
Yamato 86119,not found,not found,not found,not found
Yamato 86120,not found,not found,not found,not found
Yamato 86121,not found,not found,not found,not found
Yamato 86122,not found,not found,not found,not found
Yamato 86123,not found,not found,not found,not found
Yamato 86124,not found,not found,not found,not found
Yamato 86125,not found,not found,not found,not found
Yamato 86126,not found,not found,not found,not found
Yamato 86127,not found,not found,not found,not found
Yamato 86128,not found,not found,not found,not found
Yamato 86129,not found,not found,not found,not found
Yamato 86130,not found,not found,not found,not found
Yamato 86131,not found,not found,not found,not found
Yamato 86132,not found,not found,not found,not found
Yamato 86133,not found,not found,not found,not found
Yamato 86134,not found,not found,not found,not found
Yamato 86135,not found,not found,not found,not found
Yamato 86136,not found,not found,not found,not found
Yamato 86137,not found,not found,not found,not found
Yamato 86138,not found,not found,not found,not found
Yamato 86139,not found,not found,not found,not found
Yamato 86140,not found,not found,not found,not found
Yamato 86141,not found,not found,not found,not found
Yamato 86142,not found,not found,not found,not found
Yamato 86143,not found,not found,not found,not found
Yamato 86144,not found,not found,not found,not found
Yamato 86145,not found,not found,not found,not found
Yamato 86146,not found,not found,not found,not found
Yamato 86147,not found,not found,not found,not found
Yamato 86148,not found,not found,not found,not found
Yamato 86149,not found,not found,not found,not found
Yamato 86150,not found,not found,not found,not found
Yamato 86151,not found,not found,not found,not found
Yamato 86152,not found,not found,not found,not found
Yamato 86153,not found,not found,not found,not found
Yamato 86154,not found,not found,not found,not found
Yamato 86155,not found,not found,not found,not found
Yamato 86156,not found,not found,not found,not found
Yamato 86157,not found,not found,not found,not found
Yamato 86158,not found,not found,not found,not found
Yamato 86159,not found,not found,not found,not found
Yamato 86160,not found,not found,not found,not found
Yamato 86161,not found,not found,not found,not found
Yamato 86162,not found,not found,not found,not found
Yamato 86163,not found,not found,not found,not found
Yamato 86164,not found,not found,not found,not found
Yamato 86165,not found,not found,not found,not found
Yamato 86166,not found,not found,not found,not found
Yamato 86167,not found,not found,not found,not found
Yamato 86168,not found,not found,not found,not found
Yamato 86169,not found,not found,not found,not found
Yamato 86170,not found,not found,not found,not found
Yamato 86171,not found,not found,not found,not found
Yamato 86172,not found,not found,not found,not found
Yamato 86173,not found,not found,not found,not found
Yamato 86174,not found,not found,not found,not found
Yamato 86175,not found,not found,not found,not found
Yamato 86176,not found,not found,not found,not found
Yamato 86177,not found,not found,not found,not found
Yamato 86178,not found,not found,not found,not found
Yamato 86179,not found,not found,not found,not found
Yamato 86180,not found,not found,not found,not found
Yamato 86181,not found,not found,not found,not found
Yamato 86182,not found,not found,not found,not found
Yamato 86183,not found,not found,not found,not found
Yamato 86184,not found,not found,not found,not found
Yamato 86185,not found,not found,not found,not found
Yamato 86186,not found,not found,not found,not found
Yamato 86187,not found,not found,not found,not found
Yamato 86188,not found,not found,not found,not found
Yamato 86189,not found,not found,not found,not found
Yamato 86190,not found,not found,not found,not found
Yamato 86191,not found,not found,not found,not found
Yamato 86192,not found,not found,not found,not found
Yamato 86193,not found,not found,not found,not found
Yamato 86194,not found,not found,not found,not found
Yamato 86195,not found,not found,not found,not found
Yamato 86196,not found,not found,not found,not found
Yamato 86197,not found,not found,not found,not found
Yamato 86198,not found,not found,not found,not found
Yamato 86199,not found,not found,not found,not found
Yamato 86200,not found,not found,not found,not found
Yamato 86201,not found,not found,not found,not found
Yamato 86202,not found,not found,not found,not found
Yamato 86203,not found,not found,not found,not found
Yamato 86204,not found,not found,not found,not found
Yamato 86205,not found,not found,not found,not found
Yamato 86206,not found,not found,not found,not found
Yamato 86207,not found,not found,not found,not found
Yamato 86208,not found,not found,not found,not found
Yamato 86209,not found,not found,not found,not found
Yamato 86210,not found,not found,not found,not found
Yamato 86211,not found,not found,not found,not found
Yamato 86212,not found,not found,not found,not found
Yamato 86213,not found,not found,not found,not found
Yamato 86214,not found,not found,not found,not found
Yamato 86215,not found,not found,not found,not found
Yamato 86216,not found,not found,not found,not found
Yamato 86217,not found,not found,not found,not found
Yamato 86218,not found,not found,not found,not found
Yamato 86219,not found,not found,not found,not found
Yamato 86220,not found,not found,not found,not found
Yamato 86221,not found,not found,not found,not found
Yamato 86222,not found,not found,not found,not found
Yamato 86224,not found,not found,not found,not found
Yamato 86225,not found,not found,not found,not found
Yamato 86226,not found,not found,not found,not found
Yamato 86227,not found,not found,not found,not found
Yamato 86228,not found,not found,not found,not found
Yamato 86229,not found,not found,not found,not found
Yamato 86230,not found,not found,not found,not found
Yamato 86231,not found,not found,not found,not found
Yamato 86232,not found,not found,not found,not found
Yamato 86233,not found,not found,not found,not found
Yamato 86234,not found,not found,not found,not found
Yamato 86235,not found,not found,not found,not found
Yamato 86236,not found,not found,not found,not found
Yamato 86237,not found,not found,not found,not found
Yamato 86238,not found,not found,not found,not found
Yamato 86239,not found,not found,not found,not found
Yamato 86240,not found,not found,not found,not found
Yamato 86241,not found,not found,not found,not found
Yamato 86242,not found,not found,not found,not found
Yamato 86243,not found,not found,not found,not found
Yamato 86244,not found,not found,not found,not found
Yamato 86245,not found,not found,not found,not found
Yamato 86246,not found,not found,not found,not found
Yamato 86247,not found,not found,not found,not found
Yamato 86248,not found,not found,not found,not found
Yamato 86249,not found,not found,not found,not found
Yamato 86250,not found,not found,not found,not found
Yamato 86251,not found,not found,not found,not found
Yamato 86252,not found,not found,not found,not found
Yamato 86253,not found,not found,not found,not found
Yamato 86254,not found,not found,not found,not found
Yamato 86255,not found,not found,not found,not found
Yamato 86256,not found,not found,not found,not found
Yamato 86257,not found,not found,not found,not found
Yamato 86258,not found,not found,not found,not found
Yamato 86259,not found,not found,not found,not found
Yamato 86260,not found,not found,not found,not found
Yamato 86261,not found,not found,not found,not found
Yamato 86262,not found,not found,not found,not found
Yamato 86263,not found,not found,not found,not found
Yamato 86264,not found,not found,not found,not found
