name,longitude,latitude,country,continent
Yamato 981513,-89.2686591,13.6634038,El Salvador,North America
Yamato 981514,-89.2686591,13.6634038,El Salvador,North America
Yamato 981515,-89.2686591,13.6634038,El Salvador,North America
Yamato 981516,-89.2686591,13.6634038,El Salvador,North America
Yamato 981522,-89.2686591,13.6634038,El Salvador,North America
Yamato 981523,-89.2686591,13.6634038,El Salvador,North America
Yamato 981525,-89.2686591,13.6634038,El Salvador,North America
Yamato 981526,-89.2686591,13.6634038,El Salvador,North America
Yamato 981527,-89.2686591,13.6634038,El Salvador,North America
Yamato 981530,-89.2686591,13.6634038,El Salvador,North America
Yamato 981536,-89.2686591,13.6634038,El Salvador,North America
Yamato 981539,-89.2686591,13.6634038,El Salvador,North America
Yamato 981540,-89.2686591,13.6634038,El Salvador,North America
Yamato 981545,-89.2686591,13.6634038,El Salvador,North America
Yamato 981547,-89.2686591,13.6634038,El Salvador,North America
Yamato 981548,-89.2686591,13.6634038,El Salvador,North America
Yamato 981549,-89.2686591,13.6634038,El Salvador,North America
Yamato 981550,-89.2686591,13.6634038,El Salvador,North America
Yamato 981551,-89.2686591,13.6634038,El Salvador,North America
Yamato 981553,-89.2686591,13.6634038,El Salvador,North America
Yamato 981554,-89.2686591,13.6634038,El Salvador,North America
Yamato 981556,-89.2686591,13.6634038,El Salvador,North America
Yamato 981558,-89.2686591,13.6634038,El Salvador,North America
Yamato 981563,-89.2686591,13.6634038,El Salvador,North America
Yamato 981575,-89.2686591,13.6634038,El Salvador,North America
Yamato 981576,-89.2686591,13.6634038,El Salvador,North America
Yamato 981581,-89.2686591,13.6634038,El Salvador,North America
Yamato 981582,-89.2686591,13.6634038,El Salvador,North America
Yamato 981584,-89.2686591,13.6634038,El Salvador,North America
Yamato 981585,-89.2686591,13.6634038,El Salvador,North America
Yamato 981586,-89.2686591,13.6634038,El Salvador,North America
Yamato 981588,-89.2686591,13.6634038,El Salvador,North America
Yamato 981591,-89.2686591,13.6634038,El Salvador,North America
Yamato 981593,-89.2686591,13.6634038,El Salvador,North America
Yamato 981594,-89.2686591,13.6634038,El Salvador,North America
