name,longitude,latitude,country,continent
Queen Alexandra Range 99280,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99281,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99282,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99283,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99284,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99285,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99286,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99287,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99288,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99290,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99291,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99292,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99293,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99294,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99295,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99296,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99297,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99298,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99299,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99300,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99301,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99302,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99303,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99304,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99305,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99306,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99307,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99308,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99309,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99310,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99311,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99312,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99313,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99314,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99315,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99316,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99317,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99318,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99319,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99320,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99321,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99322,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99323,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99324,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99325,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99326,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99327,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99328,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99329,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99330,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99332,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99333,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99334,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99335,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99336,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99337,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99338,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 99339,21.1239074,55.724395,Lithuania,Europe
