name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Yamato 74018,24396,Valid,LL6,5.25,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74019,24397,Valid,H4,6.02,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74020,24398,Valid,L5,0.56,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74021,24399,Valid,H5,39.3,Found,1974,-71.79389,36.18194,"(-71.79389, 36.18194)"
Yamato 74022,24400,Valid,LL5,34.7,Found,1974,-71.84861,36.31806,"(-71.84861, 36.31806)"
Yamato 74023,24401,Valid,L6,6.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74024,24402,Valid,L3.7,50,Found,1974,-71.82444,36.25556,"(-71.82444, 36.25556)"
Yamato 74025,24403,Valid,Winonaite,14,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74026,24404,Valid,H6,5.24,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74027,24405,Valid,L6,35.7,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74028,24406,Valid,L6,90.2,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74029,24407,Valid,H4,4.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74030,24408,Valid,L6,7.82,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74031,24409,Valid,Diogenite,6.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74032,24410,Valid,H4,14.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74033,24411,Valid,L3,2.9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74034,24412,Valid,H4,27.6,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74035,24413,Valid,L6,115.7,Found,1974,-71.80167,36.14306,"(-71.80167, 36.14306)"
Yamato 74036,24414,Valid,L6,201.4,Found,1974,-71.815,36.19306,"(-71.815, 36.19306)"
Yamato 74037,24415,Valid,Diogenite,591.9,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74038,24416,Valid,H5,208.9,Found,1974,-71.825,36.24028,"(-71.825, 36.24028)"
Yamato 74039,24417,Valid,L6,47.6,Found,1974,-71.8275,36.24444,"(-71.8275, 36.24444)"
Yamato 74040,24418,Valid,L6,35.17,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74041,24419,Valid,H5,1.79,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74042,24420,Valid,H4,3.85,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74043,24421,Valid,H4,5.19,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74044,24422,Valid,"Pallasite, PMG",51.8,Found,1974,-71.79333,36.1875,"(-71.79333, 36.1875)"
Yamato 74045,24423,Valid,L6,39.82,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74046,24424,Valid,L6,2.22,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74047,24425,Valid,L4,2.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74048,24426,Valid,LL6,67.1,Found,1974,-71.80417,36.29167,"(-71.80417, 36.29167)"
Yamato 74049,24427,Valid,H4,13.12,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74050,24428,Valid,H4,18.88,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74051,24429,Valid,H4,20.93,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74052,24430,Valid,H4,58.18,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74053,24431,Valid,H4,88.48,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74054,24432,Valid,H4,134.9,Found,1974,-71.80417,36.29167,"(-71.80417, 36.29167)"
Yamato 74055,24433,Valid,H4,13.04,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74056,24434,Valid,H4,19.14,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74057,24435,Valid,H4,16.32,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74058,24436,Valid,H4,19.72,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74059,24437,Valid,H4,16.37,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74060,24438,Valid,H4,17.1,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74061,24439,Valid,H4,9.3,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74062,24440,Valid,H4,10.46,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74063,24441,Valid,Acapulcoite,35.41,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74064,24442,Valid,H5,2,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74065,24443,Valid,L6,12.1,Found,1974,-71.79972,36.29028,"(-71.79972, 36.29028)"
Yamato 74066,24444,Valid,L6,12.4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74067,24445,Valid,H6,4,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74068,24446,Valid,H5,5.41,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74069,24447,Valid,H6,18.57,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74070,24448,Valid,H5,58.7,Found,1974,-71.81167,36.4125,"(-71.81167, 36.4125)"
Yamato 74071,24449,Valid,H4,17.55,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74072,24450,Valid,H5,29,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74073,24451,Valid,H5,29.9,Found,1974,-71.81583,36.425,"(-71.81583, 36.425)"
Yamato 74074,24452,Valid,H5,54.2,Found,1974,-71.81694,36.42222,"(-71.81694, 36.42222)"
Yamato 74075,24453,Valid,H6,5.05,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 74076,24454,Valid,L6,20.36,Found,1974,-71.5,35.66667,"(-71.5, 35.66667)"
