name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Allan Hills A81076,2036,Valid,H6,10.3,Found,1981,-76.70472,159.36333,"(-76.70472, 159.36333)"
Allan Hills A81077,2037,Valid,H5,4.2,Found,1981,-76.69139,159.38778,"(-76.69139, 159.38778)"
Allan Hills A81078,2038,Valid,H6,5.9,Found,1981,-76.69139,159.38778,"(-76.69139, 159.38778)"
Allan Hills A81079,2039,Valid,H6,7.5,Found,1981,-76.69139,159.38778,"(-76.69139, 159.38778)"
Allan Hills A81080,2040,Valid,H5,16.7,Found,1981,-76.69139,159.38778,"(-76.69139, 159.38778)"
Allan Hills A81081,2041,Valid,H5,5,Found,1981,-76.69222,159.39055,"(-76.69222, 159.39055)"
Allan Hills A81082,2042,Valid,H5,5.9,Found,1981,-76.69222,159.39055,"(-76.69222, 159.39055)"
Allan Hills A81083,2043,Valid,H5,6.6,Found,1981,-76.69222,159.39055,"(-76.69222, 159.39055)"
Allan Hills A81084,2044,Valid,H5,15.7,Found,1981,-76.69222,159.39055,"(-76.69222, 159.39055)"
Allan Hills A81085,2045,Valid,L3.5,16.2,Found,1981,-76.69306,159.39222,"(-76.69306, 159.39222)"
Allan Hills A81086,2046,Valid,H6,5.7,Found,1981,-76.69306,159.39222,"(-76.69306, 159.39222)"
Allan Hills A81087,2047,Valid,L3.5,8.4,Found,1981,-76.69278,159.39222,"(-76.69278, 159.39222)"
Allan Hills A81088,2048,Valid,H5,3.8,Found,1981,-76.69306,159.39194,"(-76.69306, 159.39194)"
Allan Hills A81089,2049,Valid,H5,11.2,Found,1981,-76.69306,159.39194,"(-76.69306, 159.39194)"
Allan Hills A81090,2050,Valid,H5,9.5,Found,1981,-76.69306,159.39222,"(-76.69306, 159.39222)"
Allan Hills A81091,2051,Valid,H5,12.2,Found,1981,-76.69278,159.39167,"(-76.69278, 159.39167)"
Allan Hills A81092,2052,Valid,H4,15.6,Found,1981,-76.69306,159.39194,"(-76.69306, 159.39194)"
