name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Queen Alexandra Range 93378,19466,Valid,H6,0.5,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93379,19467,Valid,H6,8.7,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93380,19468,Valid,L6,3.4,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93381,19469,Valid,H5,3.4,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93382,19470,Valid,H6,2.8,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93383,19471,Valid,H5,2.8,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93384,19472,Valid,H5,0.5,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93385,19473,Valid,H6,62.9,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93386,19474,Valid,H5,48.8,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93387,19475,Valid,H5,6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93388,19476,Valid,H5,6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93389,19477,Valid,H6,3.6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93390,19478,Valid,H5,3.6,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93391,19479,Valid,H5,1.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93392,19480,Valid,H6,7,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93393,19481,Valid,L6,2.3,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93394,19482,Valid,H6,2.5,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93395,19483,Valid,H5,34.5,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93396,19484,Valid,H5,7.9,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93397,19485,Valid,H5,17.8,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93398,19486,Valid,H6,20.2,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93399,19487,Valid,H5,8.1,Found,1993,-84,168,"(-84.0, 168.0)"
Queen Alexandra Range 93400,19488,Valid,H5,2.2,Found,1993,-84,168,"(-84.0, 168.0)"
