name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Hammadah al Hamra 220,11703,Valid,H4,4153,Found,1997,28.932,12.62533,"(28.932, 12.62533)"
Hammadah al Hamra 221,11704,Valid,H4-5,1227,Found,1997,29.22083,11.54067,"(29.22083, 11.54067)"
Hammadah al Hamra 222,11705,Valid,L6,3393,Found,1997,29.187,11.60167,"(29.187, 11.60167)"
Hammadah al Hamra 223,11706,Valid,L6,2833,Found,1997,29.18633,11.60567,"(29.18633, 11.60567)"
Hammadah al Hamra 224,11707,Valid,L6,820,Found,1997,29.31867,12.01017,"(29.31867, 12.01017)"
Hammadah al Hamra 225,11708,Valid,H4-5,2469,Found,1997,28.95933,12.334,"(28.95933, 12.334)"
Hammadah al Hamra 226,11709,Valid,H6,476,Found,1997,28.6595,12.41317,"(28.6595, 12.41317)"
Hammadah al Hamra 227,11710,Valid,H4-5,1920,Found,1997,28.66,12.64833,"(28.66, 12.64833)"
Hammadah al Hamra 228,11711,Valid,H5,404,Found,1997,28.51133,13.20417,"(28.51133, 13.20417)"
Hammadah al Hamra 229,11712,Valid,L6,666,Found,1997,29.17617,11.63383,"(29.17617, 11.63383)"
Hammadah al Hamra 230,11713,Valid,H5,809,Found,1997,29.14233,11.88317,"(29.14233, 11.88317)"
Hammadah al Hamra 231,11714,Valid,L5,209,Found,1997,29.13617,11.92567,"(29.13617, 11.92567)"
Hammadah al Hamra 232,11715,Valid,L6,572,Found,1997,29.10883,12.012,"(29.10883, 12.012)"
Hammadah al Hamra 233,11716,Valid,H5,123,Found,1997,29.087,12.07783,"(29.087, 12.07783)"
Hammadah al Hamra 234,11717,Valid,L6,133,Found,1997,29.076,11.97533,"(29.076, 11.97533)"
Hammadah al Hamra 235,11718,Valid,H5,537,Found,1997,29.01717,12.08667,"(29.01717, 12.08667)"
Hammadah al Hamra 236,11719,Valid,L4,8261,Found,1997,28.52633,13.06517,"(28.52633, 13.06517)"
Hammadah al Hamra 237,11720,Valid,CBb,3173,Found,1997,28.60933,13.04917,"(28.60933, 13.04917)"
Hammadah al Hamra 238,11721,Valid,L6,266,Found,1997,28.93083,13.126,"(28.93083, 13.126)"
Hammadah al Hamra 239,11722,Valid,H5,393,Found,1997,28.47817,13.14417,"(28.47817, 13.14417)"
Hammadah al Hamra 240,11723,Valid,L4,1624,Found,1997,29.44983,11.36117,"(29.44983, 11.36117)"
Hammadah al Hamra 241,11724,Valid,L6,1579,Found,1997,29.44367,11.35383,"(29.44367, 11.35383)"
Hammadah al Hamra 242,11725,Valid,L5,1440,Found,1997,29.04117,12.88567,"(29.04117, 12.88567)"
Hammadah al Hamra 243,11726,Valid,L6,268.08,Found,1997,28.4375,12.97517,"(28.4375, 12.97517)"
Hammadah al Hamra 244,11727,Valid,L5-6,636.69,Found,1997,28.8515,13.40367,"(28.8515, 13.40367)"
Hammadah al Hamra 245,11728,Valid,L5-6,435.8,Found,1997,28.8545,12.20417,"(28.8545, 12.20417)"
Hammadah al Hamra 246,11729,Valid,LL6,796.69,Found,1997,28.421,12.88683,"(28.421, 12.88683)"
Hammadah al Hamra 247,11730,Valid,LL6,288.46,Found,1997,28.8525,13.4835,"(28.8525, 13.4835)"
Hammadah al Hamra 248,11731,Valid,H3.9,2345,Found,1997,28.643,12.77533,"(28.643, 12.77533)"
Hammadah al Hamra 249,11732,Valid,H5,218.43,Found,1997,28.80867,12.90017,"(28.80867, 12.90017)"
Hammadah al Hamra 250,11733,Valid,H5,2650,Found,1997,28.82867,12.92833,"(28.82867, 12.92833)"
Hammadah al Hamra 251,11734,Valid,L5,870,Found,1997,28.95967,12.87117,"(28.95967, 12.87117)"
Hammadah al Hamra 252,11735,Valid,L5-6,195.56,Found,1997,29.01517,12.66783,"(29.01517, 12.66783)"
Hammadah al Hamra 253,11736,Valid,L6,66.6,Found,1997,29.14517,12.0425,"(29.14517, 12.0425)"
Hammadah al Hamra 254,11737,Valid,L5-6,649.6,Found,1997,29.1025,11.95433,"(29.1025, 11.95433)"
Hualapai Wash 021,11919,Valid,H4,20.5,Found,1997,35.8895,-114.192,"(35.8895, -114.192)"
Jabal Akakus,12064,Valid,LL6,215,Found,1997,25,10.83333,"(25.0, 10.83333)"
Kimba,12310,Valid,H4,1492,Found,1997,-33.21667,136.41667,"(-33.21667, 136.41667)"
King Tut,12315,Valid,L5,19.51,Found,1997,35.92333,-114.10167,"(35.92333, -114.10167)"
Lewis Cliff 97200,14613,Valid,LL6,61.7,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97201,14614,Valid,H5,148.2,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97202,14615,Valid,L3.4,117.6,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97203,14616,Valid,LL6,267.1,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97204,14617,Valid,L6,277.7,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97205,14618,Valid,L6,235,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97206,14619,Valid,LL6,182.4,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97207,14620,Valid,L6,524.4,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97208,14621,Valid,L6,660.7,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97209,14622,Valid,L5,340.6,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97210,14623,Valid,L6,288.5,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97211,14624,Valid,L6,122,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97212,14625,Valid,L6,171.9,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97213,14626,Valid,LL5,82.1,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97214,14627,Valid,L6,35,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97215,14628,Valid,H6,24.3,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97216,14629,Valid,L3.7,23,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97217,14630,Valid,L5,25.5,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97218,14631,Valid,H5,28.5,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97219,14632,Valid,H5,79.6,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97220,14633,Valid,H5,5.8,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97221,14634,Valid,L3,48,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97222,14635,Valid,H6,28.9,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97223,14636,Valid,H6,22.7,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97224,14637,Valid,H5,4.8,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
Lewis Cliff 97225,14638,Valid,Ureilite,2.1,Found,1997,-84.26667,161.5,"(-84.26667, 161.5)"
