name,longitude,latitude,country,continent
Nogata,130.749513,33.725719,Japan,Asia
Narni,12.5171637,42.5163387,Italy,Europe
Elbogen,12.7294526,50.1819125,Czechia,Europe
Rivolta de Bassi,9.5157519,45.4860104,Italy,Europe
Ensisheim,7.3501042,47.8678419,France,Europe
Valdinoce,12.0984614,44.0634902,Italy,Europe
Oliva-Gandia,not found,not found,not found,not found
Campo del Cielo,-60.6043197,-27.4654379,Argentina,South America
Castrovillari,16.1949133,39.8021967,Italy,Europe
Morito,not found,not found,not found,not found
Jalandhar,-62.8224826,-41.0415034,Argentina,South America
Stretchleigh,-3.9532315,50.3832233,United Kingdom,Europe
Hatford,-1.5253931,51.6475361,United Kingdom,Europe
Minamino,136.9336177,35.0787087,Japan,Asia
Sagan,14.8817161,51.5306511,Poland,Europe
Mount Vaisi,6.8641953,44.0842296,France,Europe
Stolzenau,9.0482698,52.5313762,Germany,Europe
Fünen,10.3335487,55.3319216,Denmark,Europe
Novy-Ergi,31.3340443,58.5496706,Russia,Europe
Vago,11.1332607,45.4170379,Italy,Europe
Ortenau,52.5270593,29.576634,Iran,Asia
Sasagase,137.78282,34.716848,Japan,Asia
Barcelona (stone),2.1668704,41.3680687,Spain,Europe
Schellin,15.0513544,53.3487187,Poland,Europe
Siratik,not found,not found,not found,not found
Ploschkovitz,14.1162247,50.5327341,Czechia,Europe
Steinbach,12.5017566,50.503398,Germany,Europe
Rasgrad,26.5311493,43.5258856,Bulgaria,Europe
Ogi,130.1999239,33.2835722,Japan,Asia
Krasnojarsk,91.402852,54.9561236,Russia,Asia
Nicorps,-1.429255,49.0328217,France,Europe
Hraschina,16.334799,46.0972429,Croatia,Europe
Luponnas,-78.4134974,44.5246613,Canada,North America
Tabor,14.6497362,49.3997267,Czechia,Europe
Albareto,11.0168358,44.6519918,Italy,Europe
Lucé,0.4868319,47.8517878,France,Europe
Mauerkirchen,13.1328752,48.1830156,Austria,Europe
Aire-sur-la-Lys,2.3315817,50.6640607,France,Europe
Sena,-0.0487119,41.7162839,Spain,Europe
