name,longitude,latitude,country,continent
Asuka 881439,20.42417,44.8076859,Serbia,Europe
Asuka 881440,20.42417,44.8076859,Serbia,Europe
Asuka 881443,20.42417,44.8076859,Serbia,Europe
Asuka 881444,20.42417,44.8076859,Serbia,Europe
Asuka 881445,20.42417,44.8076859,Serbia,Europe
Asuka 881446,20.42417,44.8076859,Serbia,Europe
Asuka 881448,20.42417,44.8076859,Serbia,Europe
Asuka 881449,20.42417,44.8076859,Serbia,Europe
Asuka 881450,20.42417,44.8076859,Serbia,Europe
Asuka 881452,20.42417,44.8076859,Serbia,Europe
Asuka 881453,20.42417,44.8076859,Serbia,Europe
Asuka 881455,20.42417,44.8076859,Serbia,Europe
Asuka 881456,20.42417,44.8076859,Serbia,Europe
Asuka 881457,20.42417,44.8076859,Serbia,Europe
Asuka 881458,20.42417,44.8076859,Serbia,Europe
Asuka 881460,20.42417,44.8076859,Serbia,Europe
Asuka 881461,20.42417,44.8076859,Serbia,Europe
Asuka 881462,20.42417,44.8076859,Serbia,Europe
Asuka 881463,20.42417,44.8076859,Serbia,Europe
Asuka 881464,20.42417,44.8076859,Serbia,Europe
Asuka 881465,20.42417,44.8076859,Serbia,Europe
Asuka 881466,20.42417,44.8076859,Serbia,Europe
Asuka 881467,20.42417,44.8076859,Serbia,Europe
Asuka 881468,20.42417,44.8076859,Serbia,Europe
Asuka 881469,20.42417,44.8076859,Serbia,Europe
Asuka 881470,20.42417,44.8076859,Serbia,Europe
Asuka 881471,20.42417,44.8076859,Serbia,Europe
Asuka 881472,20.42417,44.8076859,Serbia,Europe
Asuka 881473,20.42417,44.8076859,Serbia,Europe
Asuka 881474,20.42417,44.8076859,Serbia,Europe
Asuka 881475,20.42417,44.8076859,Serbia,Europe
Asuka 881476,20.42417,44.8076859,Serbia,Europe
Asuka 881478,20.42417,44.8076859,Serbia,Europe
Asuka 881479,20.42417,44.8076859,Serbia,Europe
Asuka 881480,20.42417,44.8076859,Serbia,Europe
Asuka 881484,20.42417,44.8076859,Serbia,Europe
Asuka 881485,20.42417,44.8076859,Serbia,Europe
Asuka 881488,20.42417,44.8076859,Serbia,Europe
Asuka 881491,20.42417,44.8076859,Serbia,Europe
Asuka 881492,20.42417,44.8076859,Serbia,Europe
Asuka 881493,20.42417,44.8076859,Serbia,Europe
Asuka 881494,20.42417,44.8076859,Serbia,Europe
Asuka 881498,20.42417,44.8076859,Serbia,Europe
Asuka 881500,20.42417,44.8076859,Serbia,Europe
Asuka 881501,20.42417,44.8076859,Serbia,Europe
Asuka 881504,20.42417,44.8076859,Serbia,Europe
Asuka 881505,20.42417,44.8076859,Serbia,Europe
Asuka 881506,20.42417,44.8076859,Serbia,Europe
Asuka 881507,20.42417,44.8076859,Serbia,Europe
Asuka 881508,20.42417,44.8076859,Serbia,Europe
Asuka 881510,20.42417,44.8076859,Serbia,Europe
Asuka 881511,20.42417,44.8076859,Serbia,Europe
Asuka 881512,20.42417,44.8076859,Serbia,Europe
Asuka 881514,20.42417,44.8076859,Serbia,Europe
Asuka 881515,20.42417,44.8076859,Serbia,Europe
Asuka 881516,20.42417,44.8076859,Serbia,Europe
Asuka 881517,20.42417,44.8076859,Serbia,Europe
Asuka 881519,20.42417,44.8076859,Serbia,Europe
Asuka 881522,20.42417,44.8076859,Serbia,Europe
Asuka 881523,20.42417,44.8076859,Serbia,Europe
Asuka 881526,20.42417,44.8076859,Serbia,Europe
Asuka 881529,20.42417,44.8076859,Serbia,Europe
Asuka 881533,20.42417,44.8076859,Serbia,Europe
