name,longitude,latitude,country,continent
Sayh al Uhaymir 300,not found,not found,not found,not found
Shalim 001,54.2667349,18.2356054,Oman,Asia
Shalim 002,not found,not found,not found,not found
Shişr 003,not found,not found,not found,not found
Shişr 006,not found,not found,not found,not found
Shişr 175,not found,not found,not found,not found
Silurian Dry Lake,-116.1759229,35.517572,United States,North America
Silver Dry Lake 001,-116.1111782,35.3670345,United States,North America
Silver Dry Lake 002,not found,not found,not found,not found
Smara,not found,not found,not found,not found
Spade,-102.128045,34.004746,United States,North America
Statesboro,-81.9120115,32.4384622,United States,North America
Superior Valley 001,not found,not found,not found,not found
Superior Valley 002,not found,not found,not found,not found
Superstition Mountain,-115.773016,32.7914951,United States,North America
Tafassasset,not found,not found,not found,not found
Tentacle Ridge 00001,7.08966,62.6213,Norway,Europe
Tentacle Ridge 00002,7.08966,62.6213,Norway,Europe
Tessera,12.3071715,45.5067169,Italy,Europe
Thiel Mountains 99001,not found,not found,not found,not found
Thiel Mountains 99002,not found,not found,not found,not found
Thiel Mountains 99003,not found,not found,not found,not found
Thiel Mountains 99004,not found,not found,not found,not found
Thiel Mountains 99005,not found,not found,not found,not found
Thiel Mountains 99006,not found,not found,not found,not found
Thiel Mountains 99007,not found,not found,not found,not found
Thiel Mountains 99008,not found,not found,not found,not found
Thiel Mountains 99009,not found,not found,not found,not found
Thiel Mountains 99010,not found,not found,not found,not found
Thiel Mountains 99011,not found,not found,not found,not found
Thiel Mountains 99012,not found,not found,not found,not found
Thiel Mountains 99013,not found,not found,not found,not found
Thiel Mountains 99014,not found,not found,not found,not found
Thiel Mountains 99015,not found,not found,not found,not found
Thiel Mountains 99016,not found,not found,not found,not found
Thiel Mountains 99017,not found,not found,not found,not found
Thiel Mountains 99018,not found,not found,not found,not found
Thiel Mountains 99019,not found,not found,not found,not found
Tungsten Mountain 001,not found,not found,not found,not found
Yamato 000027,not found,not found,not found,not found
Yamato 000047,not found,not found,not found,not found
Yamato 000097,not found,not found,not found,not found
Yamato 000593,not found,not found,not found,not found
Yamato 000749,not found,not found,not found,not found
