name,longitude,latitude,country,continent
Northwest Africa 7040,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7041,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7042,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7043,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7044,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7045,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7046,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7061,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7062,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7069,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7070,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7071,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7072,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7073,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7074,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7075,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7076,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7077,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7079,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7080,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7081,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7082,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7083,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7084,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7085,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7086,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7087,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7088,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7089,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7090,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7091,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7092,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7093,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7094,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7095,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7096,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7097,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7098,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7099,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7100,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7101,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7102,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7103,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7108,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7109,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7110,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7111,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7112,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7113,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7114,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7115,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7116,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7117,-89.2681013,13.6632434,El Salvador,North America
