name,longitude,latitude,country,continent
Northwest Africa 7119,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7120,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7121,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7122,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7125,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7128,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7129,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7131,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7143,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7144,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7146,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7148,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7149,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7150,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7177,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7178,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7179,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7180,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7181,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7182,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7189,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7190,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7195,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7198,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7199,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7200,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7201,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7202,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7203,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7206,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7211,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7213,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7220,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7221,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7227,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7228,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7231,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7232,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7234,-89.2681013,13.6632434,El Salvador,North America
Northwest Africa 7235,-89.2681013,13.6632434,El Salvador,North America
