recclass,mass,homecontinent
Iron IAB-MG,9512880,Asia
Iron IVB,136000,Asia
Iron ungrouped,928603.5,Asia
Iron IIAB,24159384,Asia
Iron IAB-ung,60156,Asia
Iron IVA,3344505,Asia
Iron IIIE,190800,Asia
H5,4933181.85,Asia
L6,1007447.729,Asia
Iron IAB-MG,721900,Europe
Iron IVB,0,Europe
Iron ungrouped,1210063.7,Europe
Iron IIAB,869509,Europe
Iron IAB-ung,79610,Europe
Iron IVA,282043.5,Europe
Iron IIIE,0,Europe
H5,1083220.46,Europe
L6,1540866.214,Europe
Iron IAB-MG,50100000,South America
Iron IVB,1980,South America
Iron ungrouped,2132306,South America
Iron IIAB,2049330,South America
Iron IAB-ung,7030000,South America
Iron IVA,206945,South America
Iron IIIE,28200000,South America
H5,290759.26,South America
L6,524116,South America
Iron IAB-MG,33286556,North America
Iron IVB,217320,North America
Iron ungrouped,3401516,North America
Iron IIAB,3439185.8,North America
Iron IAB-ung,190883,North America
Iron IVA,26891329.7,North America
Iron IIIE,126977,North America
H5,3628564.76,North America
L6,3074533.02,North America
Iron IAB-MG,69600,Africa
Iron IVB,0,Africa
Iron ungrouped,17660513,Africa
Iron IIAB,174180,Africa
Iron IAB-ung,153544,Africa
Iron IVA,0,Africa
Iron IIIE,341000,Africa
H5,310717.51,Africa
L6,549633.3,Africa
Iron IAB-MG,0,Antarctica
Iron IVB,0,Antarctica
Iron ungrouped,0,Antarctica
Iron IIAB,0,Antarctica
Iron IAB-ung,0,Antarctica
Iron IVA,0,Antarctica
Iron IIIE,0,Antarctica
H5,0,Antarctica
L6,22.25,Antarctica
Iron IAB-MG,13155880,Oceania
Iron IVB,0,Oceania
Iron ungrouped,34512.7,Oceania
Iron IIAB,20741,Oceania
Iron IAB-ung,76.6,Oceania
Iron IVA,2000,Oceania
Iron IIIE,5825,Oceania
H5,740668.87,Oceania
L6,383057.4,Oceania
Iron IAB-MG,462604.2,not found
Iron IVB,60161180,not found
Iron ungrouped,22334333.14,not found
Iron IIAB,7021629.84,not found
Iron IAB-ung,24040944.7,not found
Iron IVA,328023.9,not found
Iron IIIE,201000,not found
H5,2945717.712,not found
L6,4489474.735,not found
