name,recclass,mass,year,longitude,latitude,country,continent
Rivolta de Bassi,Stone-uncl,103.3,1490,9.5157519,45.4860104,Italy,Europe
Ensisheim,LL6,127000,1491,7.3501042,47.8678419,France,Europe
Valdinoce,Stone-uncl,,1495,12.0984614,44.0634902,Italy,Europe
Oliva-Gandia,Stone-uncl,,1519,not found,not found,not found,not found
Campo del Cielo,"Iron, IAB-MG",50000000,1575,-60.6043197,-27.4654379,Argentina,South America
Castrovillari,Stone-uncl,15000,1583,16.1949133,39.8021967,Italy,Europe
Morito,"Iron, IIIAB",10100000,1600,not found,not found,not found,not found
Jalandhar,Iron,1967,1621,-62.8224826,-41.0415034,Argentina,South America
Stretchleigh,Stone-uncl,10400,1623,-3.9532315,50.3832233,United Kingdom,Europe
Hatford,Stone-uncl,29000,1628,-1.5253931,51.6475361,United Kingdom,Europe
Minamino,L,1040,1632,136.9336177,35.0787087,Japan,Asia
Sagan,Stone-uncl,,1636,14.8817161,51.5306511,Poland,Europe
Mount Vaisi,Stone-uncl,17000,1637,6.8641953,44.0842296,France,Europe
Stolzenau,Stone-uncl,,1647,9.0482698,52.5313762,Germany,Europe
Fünen,Stone-uncl,,1654,10.3335487,55.3319216,Denmark,Europe
Novy-Ergi,Stone-uncl,,1662,31.3340443,58.5496706,Russia,Europe
Vago,H6,40,1668,11.1332607,45.4170379,Italy,Europe
Ortenau,Stone-uncl,4500,1671,52.5270593,29.576634,Iran,Asia
Sasagase,H,695,1688,137.78282,34.716848,Japan,Asia
Barcelona (stone),OC,,1704,2.1668704,41.3680687,Spain,Europe
Schellin,L,7000,1715,15.0513544,53.3487187,Poland,Europe
Siratik,"Iron, IIAB",1700,1716,not found,not found,not found,not found
Ploschkovitz,L5,39,1723,14.1162247,50.5327341,Czechia,Europe
Steinbach,"Iron, IVA-an",98000,1724,12.5017566,50.503398,Germany,Europe
Rasgrad,Stone-uncl,24700,1740,26.5311493,43.5258856,Bulgaria,Europe
Ogi,H6,14360,1741,130.1999239,33.2835722,Japan,Asia
Krasnojarsk,"Pallasite, PMG-an",700000,1749,91.402852,54.9561236,Russia,Asia
Nicorps,Stone-uncl,,1750,-1.429255,49.0328217,France,Europe
Hraschina,"Iron, IID",49000,1751,16.334799,46.0972429,Croatia,Europe
Luponnas,H3-5,14000,1753,-78.4134974,44.5246613,Canada,North America
Tabor,H5,7540,1753,14.6497362,49.3997267,Czechia,Europe
Albareto,L/LL4,2000,1766,11.0168358,44.6519918,Italy,Europe
Lucé,L6,3500,1768,0.4868319,47.8517878,France,Europe
Mauerkirchen,L6,19000,1768,13.1328752,48.1830156,Austria,Europe
Aire-sur-la-Lys,Unknown,,1769,2.3315817,50.6640607,France,Europe
Sena,H4,4000,1773,-0.0487119,41.7162839,Spain,Europe
Owrucz,OC,,1775,28.8324499,51.3336368,Ukraine,Europe
Rodach,Stone-uncl,2900,1775,10.7918292,50.3525972,Germany,Europe
Toluca,"Iron, IAB-sLL",3000000,1776,-99.5539467,19.5710077,Mexico,North America
Pettiswood,Stone-uncl,,1779,-7.3355776,53.5369114,Ireland,Europe
Longchang,"Iron, IVA-an",158500,1781,105.2986789,29.2879832,China,Asia
Bendegó,"Iron, IC",5360000,1784,-39.1051821,-10.0959625,Brazil,South America
Sierra Blanca,"Iron, IAB?",405,1784,-104.8994163,27.1523681,Mexico,North America
Eichstädt,H5,3000,1785,11.214807,48.9008861,Germany,Europe
Kharkov,L6,1500,1787,35.0354777,50.6496602,Ukraine,Europe
Barbotan,H5,6400,1790,-0.0481959,43.9490142,France,Europe
Castel Berardenga,Stone-uncl,,1791,11.5001005,43.349846,Italy,Europe
Zacatecas (1792),"Iron, ungrouped",1000000,1792,-102.5678292,22.8125077,Mexico,North America
Cape of Good Hope,"Iron, IVB",136000,1793,52.6192688,29.5773552,Iran,Asia
Siena,LL5,3700,1794,11.6789076,43.0765459,Italy,Europe
Mulletiwu,L,25.5,1795,80.8145347,9.2698532,Sri Lanka,Asia
Wold Cottage,L6,25000,1795,-0.4125881,54.134014,United Kingdom,Europe
Bjelaja Zerkov,H6,1850,1796,30.1667079,49.7832709,Ukraine,Europe
Portugal,Stone-uncl,4500,1796,37.4604534,55.7234484,Russia,Europe
Prambanan,"Iron, ungrouped",500000,1797,110.8321431,-7.568078,Indonesia,Asia
Benares (a),LL4,3700,1798,82.9156514,25.3656515,India,Asia
Salles,L5,9000,1798,4.6334038,46.0508761,France,Europe
Mauritius,L6,220,1801,30.4326952,60.1241501,Russia,Europe
Apt,L6,3200,1803,5.380135,43.8644559,France,Europe
L'Aigle,L6,37000,1803,0.6330057,48.7671216,France,Europe
Mässing,Howardite,1600,1803,12.6167863,48.1331253,Germany,Europe
Bocas,L6,56,1804,25.59395,49.5432691,Ukraine,Europe
Darmstadt,H5,100,1804,8.6498839,49.8667688,Germany,Europe
High Possil,L6,4500,1804,-4.233372,55.9002532,United Kingdom,Europe
Charcas,"Iron, IIIAB",1400000,1804,-101.0241899,23.0837038,Mexico,North America
Durango,"Iron, IIIAB",164000,1804,not found,not found,not found,not found
Misteca,"Iron, ungrouped",10000,1804,-97.100278,16.812778,Mexico,North America
Asco,H6,41,1805,9.0308446,42.449364,France,Europe
Doroninsk,H5-7,3891,1805,112.1925861,51.3094947,Russia,Asia
Bitburg,"Iron, IAB complex",1500000,1805,6.5331638,49.9667638,Germany,Europe
Alais,CI1,6000,1806,4.0832646,44.1165009,France,Europe
Timochin,H5,65500,1807,35.2028003,54.498311,Russia,Europe
Weston,H4,150000,1807,-73.2710006,41.2637185,United States,North America
Borgo San Donino,LL6,1676,1808,10.0498962,44.8670007,Italy,Europe
Lissa,L6,12800,1808,14.850031,50.1999006,Czechia,Europe
Moradabad,L6,70,1808,78.845355,28.7761983,India,Asia
Stannern,Eucrite-mmict,52000,1808,15.5696093,49.2807209,Czechia,Europe
Red River,"Iron, IIIAB",800000,1808,15.2705088,50.3299213,Czechia,Europe
Kikino,H6,195,1809,-80.0574558,42.7977644,Canada,North America
Caswell County,OC,1360,1810,-79.2536383,36.4991443,United States,North America
Charsonville,H6,27000,1810,1.5468001,47.9382921,France,Europe
